thumb,index,middle,ring,pinky,total_up,label
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,1,1,1,1,4,A
0,0,0,0,0,0,B
